Sa,Probability
9.351399719793052068e-01,9.515611824654849338e-01
9.409783468041758026e-01,9.525143065140654342e-01
9.468167216290465094e-01,9.534465901939226384e-01
9.526550964539171051e-01,9.543585315427203231e-01
9.584934712787878119e-01,9.552506158438950346e-01
9.643318461036585187e-01,9.561233159672217763e-01
9.701702209285291145e-01,9.569770927003369287e-01
9.760085957533998213e-01,9.578123950714326762e-01
9.818469705782704171e-01,9.586296606633319950e-01
9.876853454031411239e-01,9.594293159191500386e-01
9.935237202280117197e-01,9.602117764397499755e-01
9.993620950528824265e-01,9.609774472731921202e-01
1.005200469877753022e+00,9.617267231963766427e-01
1.011038844702623507e+00,9.624599889890753657e-01
1.016877219527494214e+00,9.631776197005437190e-01
1.022715594352364921e+00,9.638799809089040327e-01
1.028553969177235627e+00,9.645674289734827989e-01
1.034392344002106334e+00,9.652403112802864227e-01
1.040230718826976819e+00,9.658989664807918762e-01
1.046069093651847526e+00,9.665437247242283370e-01
1.051907468476718233e+00,9.671749078835196745e-01
1.057745843301588939e+00,9.677928297750570952e-01
1.063584218126459424e+00,9.683977963724632598e-01
1.069422592951330131e+00,9.689901060145109657e-01
1.075260967776200838e+00,9.695700496073508257e-01
1.081099342601071545e+00,9.701379108212019320e-01
1.086937717425942251e+00,9.706939662816552739e-01
1.092776092250812736e+00,9.712384857557349038e-01
1.098614467075683443e+00,9.717717323328601831e-01
1.104452841900554150e+00,9.722939626008482161e-01
1.110291216725424857e+00,9.728054268170902574e-01
1.116129591550295341e+00,9.733063690750373143e-01
1.121967966375166048e+00,9.737970274661216230e-01
1.127806341200036755e+00,9.742776342372398979e-01
1.133644716024907462e+00,9.747484159439215867e-01
1.139483090849778169e+00,9.752095935993014830e-01
1.145321465674648653e+00,9.756613828190113802e-01
1.151159840499519360e+00,9.761039939621061201e-01
1.156998215324390067e+00,9.765376322681327270e-01
1.162836590149260774e+00,9.769624979904496520e-01
1.168674964974131258e+00,9.773787865259027097e-01
1.174513339799001965e+00,9.777866885409561837e-01
1.180351714623872672e+00,9.781863900943813528e-01
1.186190089448743379e+00,9.785780727565952519e-01
1.192028464273614086e+00,9.789619137257465908e-01
1.197866839098484570e+00,9.793380859406370931e-01
1.203705213923355277e+00,9.797067581905688494e-01
1.209543588748225984e+00,9.800680952222023956e-01
1.215381963573096691e+00,9.804222578435103364e-01
1.221220338397967176e+00,9.807694030249072270e-01
1.227058713222837882e+00,9.811096839976353179e-01
1.232897088047708589e+00,9.814432503494824322e-01
1.238735462872579296e+00,9.817702481179084728e-01
1.244573837697450003e+00,9.820908198806506118e-01
1.250412212522320488e+00,9.824051048438807721e-01
1.256250587347191194e+00,9.827132389279819025e-01
1.262088962172061901e+00,9.830153548510105477e-01
1.267927336996932608e+00,9.833115822099116610e-01
1.273765711821803093e+00,9.836020475595462775e-01
1.279604086646673800e+00,9.838868744895961083e-01
1.285442461471544506e+00,9.841661836994021195e-01
1.291280836296415213e+00,9.844400930707968289e-01
1.297119211121285920e+00,9.847087177389854951e-01
1.302957585946156405e+00,9.849721701615308245e-01
1.308795960771027111e+00,9.852305601854944861e-01
1.314634335595897818e+00,9.854839951127872810e-01
1.320472710420768525e+00,9.857325797637772613e-01
1.326311085245639010e+00,9.859764165392049806e-01
1.332149460070509717e+00,9.862156054804527283e-01
1.337987834895380423e+00,9.864502443282143762e-01
1.343826209720251130e+00,9.866804285796091367e-01
1.349664584545121837e+00,9.869062515437845295e-01
1.355502959369992322e+00,9.871278043960473036e-01
1.361341334194863029e+00,9.873451762305680557e-01
1.367179709019733735e+00,9.875584541116934068e-01
1.373018083844604442e+00,9.877677231239099243e-01
1.378856458669474927e+00,9.879730664204929846e-01
1.384694833494345634e+00,9.881745652708791017e-01
1.390533208319216341e+00,9.883722991067963592e-01
1.396371583144087047e+00,9.885663455671881428e-01
1.402209957968957754e+00,9.887567805419616995e-01
1.408048332793828239e+00,9.889436782145956117e-01
1.413886707618698946e+00,9.891271111036374908e-01
1.419725082443569653e+00,9.893071501031209802e-01
1.425563457268440359e+00,9.894838645219334872e-01
1.431401832093310844e+00,9.896573221221625083e-01
1.437240206918181551e+00,9.898275891564490836e-01
1.443078581743052258e+00,9.899947304043751339e-01
1.448916956567922965e+00,9.901588092079106618e-01
1.454755331392793671e+00,9.903198875059487927e-01
1.460593706217664156e+00,9.904780258679498628e-01
1.466432081042534863e+00,9.906332835267226411e-01
1.472270455867405570e+00,9.907857184103633363e-01
1.478108830692276277e+00,9.909353871733771468e-01
1.483947205517146761e+00,9.910823452270028922e-01
1.489785580342017468e+00,9.912266467687642635e-01
1.495623955166888175e+00,9.913683448112673435e-01
1.501462329991758882e+00,9.915074912102642690e-01
1.507300704816629588e+00,9.916441366920052403e-01
1.513139079641500073e+00,9.917783308798950870e-01
1.518977454466370780e+00,9.919101223204751516e-01
1.524815829291241487e+00,9.920395585087485868e-01
1.530654204116112194e+00,9.921666859128650540e-01
1.536492578940982678e+00,9.922915499981844745e-01
1.542330953765853385e+00,9.924141952507339326e-01
1.548169328590724092e+00,9.925346652000758274e-01
1.554007703415594799e+00,9.926530024416029274e-01
1.559846078240465506e+00,9.927692486582735398e-01
1.565684453065335990e+00,9.928834446418047799e-01
1.571522827890206697e+00,9.929956303133363749e-01
1.577361202715077404e+00,9.931058447435787695e-01
1.583199577539948111e+00,9.932141261724610759e-01
1.589037952364818596e+00,9.933205120282906364e-01
1.594876327189689302e+00,9.934250389464367448e-01
